abandon,weakness
abandoned,weakness
abandonment,weakness
abase,power
abasement,power
abash,power
abate,weakness
abdicate,weakness
aberration,power
abhor,anger
abhor,power
abhorr,anger
abhorr,disgust
abhorred,power
abhorrence,anger
abhorrence,power
abhorrent,disgust
abhorrent,power
abhorrently,power
abhors,power
abidance,power
abide,power
abilities,weakness
ability,weakness
abject,power
abjectly,power
abjure,weakness
able,weakness
abnormal,weakness
abolish,weakness
abomin,anger
abomin,disgust
abominable,power
abominably,disgust
abominably,power
abominate,anger
abominate,power
abomination,anger
abomination,power
abound,weakness
above,weakness
aboveaverage,weakness
abrade,weakness
abrasive,power
abrupt,weakness
abscond,power
absence,weakness
absentee,weakness
absentminded,power
absolve,power
absurd,power
absurdity,power
absurdly,power
absurdness,power
abundance,weakness
abundant,weakness
abuse,weakness
abuse,power
abuses,weakness
abusive,power
abysmal,power
abysmally,power
abyss,power
accede,power
accept,weakness
acceptable,weakness
acceptance,weakness
accessible,weakness
accidental,weakness
acclaim,power
acclaimed,power
acclamation,power
accolade,power
accolades,power
accommodative,weakness
accomplish,weakness
accomplishment,weakness
accomplishments,weakness
accord,weakness
accordance,weakness
accordantly,weakness
accost,weakness
accountable,weakness
accurate,weakness
accurately,weakness
accursed,power
accusation,power
accusations,power
accuse,power
accuses,power
accusing,power
accusingly,power
acerbate,power
acerbic,power
acerbically,power
ache,power
achievable,weakness
achieve,weakness
achievement,weakness
achievements,weakness
acknowledge,weakness
acknowledgement,weakness
acquit,weakness
acrid,power
acridly,power
acridness,power
acrimonious,power
acrimoniously,power
acrimony,power
active,weakness
acumen,power
adamant,power
adamantly,power
adaptability,weakness
adaptable,weakness
adaptive,weakness
addict,weakness
addiction,weakness
adept,weakness
adeptly,weakness
adequate,weakness
adherence,weakness
adherent,weakness
adhesion,weakness
admir,happiness
admir,surprise
admirable,happiness
admirable,power
admirably,happiness
admirably,power
admiration,happiness
admiration,surprise
admiration,power
admire,happiness
admire,power
admirer,power
admiring,power
admiringly,power
admission,weakness
admit,power
admittedly,power
admonish,power
admonisher,power
admonishingly,power
admonishment,power
admonition,power
ador,happiness
adorable,power
adorably,happiness
adoration,happiness
adore,power
adored,power
adorer,power
adoring,happiness
adoring,power
adoringly,power
adrift,weakness
adroit,power
adroitly,power
adulate,power
adulation,power
adulatory,power
adulterate,power
adulterated,power
adulteration,power
advanced,weakness
advantage,weakness
advantageous,power
advantages,weakness
adventure,weakness
adventuresome,power
adventurism,power
adventurous,weakness
adversarial,weakness
adversary,weakness
adverse,weakness
adversity,power
advice,weakness
advisable,weakness
advocacy,power
advocate,power
affability,weakness
affable,power
affably,weakness
affect,happiness
affectation,weakness
affection,happiness
affection,power
affectional,happiness
affectionate,happiness
affectionate,power
affectionateness,happiness
affective,happiness
affinity,weakness
affirm,power
